loc,dow,hr,traffic
AE,0,0,0.29466286538461534
AE,0,1,0.262175826923077
AE,0,2,0.25795946153846155
AE,0,3,0.2786802884615385
AE,0,4,0.3112597884615384
AE,0,5,0.3669809803921568
AE,0,6,0.429826705882353
AE,0,7,0.5019908269230771
AE,0,8,0.5405221923076923
AE,0,9,0.5944124423076924
AE,0,10,0.6535939999999999
AE,0,11,0.6638031923076922
AE,0,12,0.6357818846153847
AE,0,13,0.6389337499999997
AE,0,14,0.6567306346153845
AE,0,15,0.689716673076923
AE,0,16,0.7503520000000001
AE,0,17,0.785144096153846
AE,0,18,0.7835008653846154
AE,0,19,0.7366934038461541
AE,0,20,0.644807846153846
AE,0,21,0.5184963269230769
AE,0,22,0.39213219230769236
AE,0,23,0.30514394230769226
AE,1,0,0.25614463461538456
AE,1,1,0.23833326923076925
AE,1,2,0.24956096153846158
AE,1,3,0.27394419230769224
AE,1,4,0.3199334423076922
AE,1,5,0.36851732692307676
AE,1,6,0.4100642307692308
AE,1,7,0.44944932692307693
AE,1,8,0.4726230769230769
AE,1,9,0.5070351346153846
AE,1,10,0.5391520384615384
AE,1,11,0.5509489038461539
AE,1,12,0.5538495384615385
AE,1,13,0.5515992500000001
AE,1,14,0.5653231153846154
AE,1,15,0.6174476153846155
AE,1,16,0.67842625
AE,1,17,0.7503638076923076
AE,1,18,0.7680185576923075
AE,1,19,0.7139155576923077
AE,1,20,0.6004159230769229
AE,1,21,0.4775541346153846
AE,1,22,0.372585
AE,1,23,0.2983940000000001
AE,2,0,0.25049321153846155
AE,2,1,0.23840698076923073
AE,2,2,0.25132798076923074
AE,2,3,0.27997
AE,2,4,0.32651261538461535
AE,2,5,0.3718267115384615
AE,2,6,0.413830076923077
AE,2,7,0.45185159615384607
AE,2,8,0.4800599038461539
AE,2,9,0.5061060384615385
AE,2,10,0.5381507115384617
AE,2,11,0.5458811538461538
AE,2,12,0.547418346153846
AE,2,13,0.542655230769231
AE,2,14,0.5616328076923076
AE,2,15,0.6169233461538461
AE,2,16,0.6885545384615384
AE,2,17,0.7656696153846152
AE,2,18,0.7785529999999995
AE,2,19,0.7401676153846153
AE,2,20,0.6486522115384615
AE,2,21,0.5049649807692307
AE,2,22,0.3774370192307692
AE,2,23,0.2982767115384616
AE,3,0,0.25241498076923063
AE,3,1,0.24201778846153843
AE,3,2,0.25648576923076927
AE,3,3,0.2834306923076923
AE,3,4,0.33204796153846156
AE,3,5,0.3825934807692309
AE,3,6,0.4159664423076925
AE,3,7,0.45107017307692304
AE,3,8,0.47906228846153837
AE,3,9,0.5116563653846153
AE,3,10,0.5405519038461539
AE,3,11,0.5546041538461538
AE,3,12,0.5588931346153847
AE,3,13,0.5555017500000001
AE,3,14,0.574865173076923
AE,3,15,0.6241003846153846
AE,3,16,0.6859441346153845
AE,3,17,0.7532466153846152
AE,3,18,0.7796940769230767
AE,3,19,0.7333988653846154
AE,3,20,0.6376712115384614
AE,3,21,0.5035779230769231
AE,3,22,0.38532253846153847
AE,3,23,0.3077460961538462
AE,4,0,0.2549959230769231
AE,4,1,0.24138832692307693
AE,4,2,0.2516593461538461
AE,4,3,0.2784767307692308
AE,4,4,0.3289595192307693
AE,4,5,0.37700538461538446
AE,4,6,0.4127621923076923
AE,4,7,0.45091426923076916
AE,4,8,0.47734163461538454
AE,4,9,0.5100261153846155
AE,4,10,0.5481431538461539
AE,4,11,0.5711967307692308
AE,4,12,0.5709486346153845
AE,4,13,0.5635982884615384
AE,4,14,0.5694779615384616
AE,4,15,0.6252808653846155
AE,4,16,0.6824414615384616
AE,4,17,0.7433451538461538
AE,4,18,0.7616782307692309
AE,4,19,0.7194048653846153
AE,4,20,0.6298789615384616
AE,4,21,0.5107127115384614
AE,4,22,0.39847940384615366
AE,4,23,0.32179742307692305
AE,5,0,0.2715875192307692
AE,5,1,0.2514445192307692
AE,5,2,0.260956576923077
AE,5,3,0.29194017307692316
AE,5,4,0.33996332692307696
AE,5,5,0.38610350000000004
AE,5,6,0.43264290384615384
AE,5,7,0.4750647500000002
AE,5,8,0.4840689230769232
AE,5,9,0.531109326923077
AE,5,10,0.6127466923076922
AE,5,11,0.6163357115384616
AE,5,12,0.5867297499999999
AE,5,13,0.5760795769230769
AE,5,14,0.5823711346153848
AE,5,15,0.6311178269230768
AE,5,16,0.6850865576923074
AE,5,17,0.7412520961538462
AE,5,18,0.7773881538461539
AE,5,19,0.7630174423076919
AE,5,20,0.6706117307692309
AE,5,21,0.5435773269230771
AE,5,22,0.4327793846153845
AE,5,23,0.3412127692307691
AE,6,0,0.28442992307692305
AE,6,1,0.253675326923077
AE,6,2,0.25135734615384614
AE,6,3,0.27435594230769234
AE,6,4,0.3128779807692308
AE,6,5,0.3669967884615384
AE,6,6,0.4219195384615385
AE,6,7,0.4767498076923076
AE,6,8,0.5279688269230767
AE,6,9,0.5677040769230769
AE,6,10,0.6074627884615383
AE,6,11,0.6148857884615385
AE,6,12,0.6098784615384614
AE,6,13,0.6015185961538461
AE,6,14,0.6100373076923077
AE,6,15,0.648138980769231
AE,6,16,0.6962555769230769
AE,6,17,0.7468003269230769
AE,6,18,0.790419961538462
AE,6,19,0.7871215769230767
AE,6,20,0.7257902115384615
AE,6,21,0.6136706730769231
AE,6,22,0.48565911538461537
AE,6,23,0.3772991346153845
AU,0,0,0.5675934615384616
AU,0,1,0.6094662307692309
AU,0,2,0.6472428269230771
AU,0,3,0.6941302500000001
AU,0,4,0.7248684230769231
AU,0,5,0.7418001568627451
AU,0,6,0.7446962156862746
AU,0,7,0.7467452115384613
AU,0,8,0.749296230769231
AU,0,9,0.8066978653846153
AU,0,10,0.854168019230769
AU,0,11,0.8447146346153842
AU,0,12,0.7433680769230769
AU,0,13,0.6065746153846153
AU,0,14,0.4674973461538461
AU,0,15,0.358398826923077
AU,0,16,0.29616232692307687
AU,0,17,0.2457657692307693
AU,0,18,0.23205121153846153
AU,0,19,0.26247869230769233
AU,0,20,0.3281952692307692
AU,0,21,0.40931871153846167
AU,0,22,0.48987461538461535
AU,0,23,0.5633221153846153
AU,1,0,0.6031804230769231
AU,1,1,0.6242738461538463
AU,1,2,0.6440909615384616
AU,1,3,0.6674122499999998
AU,1,4,0.690623923076923
AU,1,5,0.7086142307692309
AU,1,6,0.726719307692308
AU,1,7,0.7263461153846152
AU,1,8,0.7470265576923077
AU,1,9,0.8190356153846156
AU,1,10,0.8752228269230765
AU,1,11,0.8578384999999998
AU,1,12,0.7497184615384617
AU,1,13,0.5999134807692307
AU,1,14,0.45812798076923056
AU,1,15,0.35134923076923086
AU,1,16,0.2882458653846154
AU,1,17,0.25241548076923076
AU,1,18,0.24242648076923073
AU,1,19,0.27858000000000005
AU,1,20,0.3452636153846154
AU,1,21,0.4178479230769231
AU,1,22,0.498579576923077
AU,1,23,0.5692209615384617
AU,2,0,0.6049858269230769
AU,2,1,0.6255694615384615
AU,2,2,0.6403116153846155
AU,2,3,0.6598712115384616
AU,2,4,0.6835611923076923
AU,2,5,0.7023548269230768
AU,2,6,0.7203546346153847
AU,2,7,0.7196851346153846
AU,2,8,0.7477781923076923
AU,2,9,0.8134059615384612
AU,2,10,0.8765440000000002
AU,2,11,0.8629158076923074
AU,2,12,0.7558126923076924
AU,2,13,0.6024250576923076
AU,2,14,0.46328280769230756
AU,2,15,0.3572111153846154
AU,2,16,0.3023159038461538
AU,2,17,0.26319026923076916
AU,2,18,0.25353138461538455
AU,2,19,0.2918155192307693
AU,2,20,0.3641511923076924
AU,2,21,0.4399540192307692
AU,2,22,0.5196768653846154
AU,2,23,0.5897648461538462
AU,3,0,0.6195513846153845
AU,3,1,0.6342047307692307
AU,3,2,0.6453616730769232
AU,3,3,0.6674170769230767
AU,3,4,0.6840608076923076
AU,3,5,0.7118436346153848
AU,3,6,0.723636730769231
AU,3,7,0.7210951730769233
AU,3,8,0.7448192692307694
AU,3,9,0.8122707307692306
AU,3,10,0.8697594615384616
AU,3,11,0.8651167307692309
AU,3,12,0.7649289807692307
AU,3,13,0.6163751923076923
AU,3,14,0.4787031538461538
AU,3,15,0.36809109615384616
AU,3,16,0.3035645769230769
AU,3,17,0.26201821153846155
AU,3,18,0.2519041730769231
AU,3,19,0.2889495384615385
AU,3,20,0.3559753846153846
AU,3,21,0.4320444807692307
AU,3,22,0.5094675961538463
AU,3,23,0.5826918846153846
AU,4,0,0.6143923461538461
AU,4,1,0.6279749423076922
AU,4,2,0.6396078076923077
AU,4,3,0.6542819807692306
AU,4,4,0.6766648846153844
AU,4,5,0.695389096153846
AU,4,6,0.7089303461538463
AU,4,7,0.7033467115384615
AU,4,8,0.7305438269230768
AU,4,9,0.7996565
AU,4,10,0.8613323653846152
AU,4,11,0.8738134423076923
AU,4,12,0.77771025
AU,4,13,0.6201250576923077
AU,4,14,0.47554298076923085
AU,4,15,0.3697620769230769
AU,4,16,0.3064191538461538
AU,4,17,0.2686450000000001
AU,4,18,0.25575623076923076
AU,4,19,0.2937475576923077
AU,4,20,0.3662432499999999
AU,4,21,0.43969805769230774
AU,4,22,0.5141670961538461
AU,4,23,0.5800726346153845
AU,5,0,0.6179235192307693
AU,5,1,0.6278637692307694
AU,5,2,0.6396949230769231
AU,5,3,0.6657445384615385
AU,5,4,0.6863938653846156
AU,5,5,0.6980352884615384
AU,5,6,0.7165925576923076
AU,5,7,0.707817057692308
AU,5,8,0.7199716923076921
AU,5,9,0.7697574807692308
AU,5,10,0.8197525384615384
AU,5,11,0.8429915384615383
AU,5,12,0.7775768461538459
AU,5,13,0.66355975
AU,5,14,0.5249633269230769
AU,5,15,0.4123963653846155
AU,5,16,0.33759100000000003
AU,5,17,0.2825695769230769
AU,5,18,0.25581582692307697
AU,5,19,0.28288584615384615
AU,5,20,0.34462996153846154
AU,5,21,0.4163371923076922
AU,5,22,0.47217198076923084
AU,5,23,0.5206370192307692
AU,6,0,0.5651175576923078
AU,6,1,0.5912655384615385
AU,6,2,0.6169356153846155
AU,6,3,0.6550878653846153
AU,6,4,0.6814697307692309
AU,6,5,0.7041891923076923
AU,6,6,0.709241230769231
AU,6,7,0.7004063461538461
AU,6,8,0.7104473846153847
AU,6,9,0.7488074423076923
AU,6,10,0.796826211538461
AU,6,11,0.806563173076923
AU,6,12,0.7559878846153847
AU,6,13,0.6550231153846153
AU,6,14,0.5424400769230768
AU,6,15,0.4184229230769231
AU,6,16,0.34408426923076924
AU,6,17,0.2778696730769231
AU,6,18,0.24838284615384612
AU,6,19,0.25814021153846156
