loc,mean,median,p05,p95,n
SG,0.698,0.729,0.442,0.899,8734.0
NL,0.667,0.686,0.433,0.88,8734.0
US,0.658,0.66,0.454,0.868,8734.0
ID,0.642,0.666,0.356,0.891,8734.0
DE,0.605,0.622,0.318,0.88,8734.0
IN,0.603,0.684,0.181,0.897,8734.0
KR,0.59,0.608,0.284,0.876,8734.0
MX,0.585,0.621,0.228,0.874,8734.0
AU,0.574,0.61,0.25,0.877,8734.0
ZA,0.569,0.605,0.224,0.866,8734.0
FR,0.564,0.574,0.238,0.879,8734.0
JP,0.556,0.54,0.313,0.866,8734.0
CA,0.552,0.542,0.277,0.862,8734.0
VN,0.552,0.579,0.223,0.863,8734.0
AE,0.503,0.494,0.223,0.834,8734.0
BR,0.495,0.513,0.157,0.85,8734.0
GB,0.483,0.465,0.202,0.815,8734.0
ES,0.452,0.453,0.152,0.785,8734.0
NG,0.408,0.41,0.163,0.653,8734.0
IT,0.386,0.378,0.118,0.721,8734.0
